,num_inputs,num_features,num_outputs,time,iqr
167,64,128,128,42.44285156950355,0.10934909805655552
168,64,128,256,42.54817020148039,0.3211260773241508
169,64,128,512,42.66735037788749,0.8494850248098371
170,64,128,1024,42.75713657960296,0.16295425593853255
171,64,128,2048,44.96460193768144,1.659389771521088
172,64,128,4096,47.40156026557088,2.9987635090947142
173,64,128,8192,48.95759096369147,0.5531056784093417
174,64,128,16384,48.494905047118664,0.005682092159986366
175,64,128,32768,76.3639311340672,0.025816261768342147
176,64,256,32,44.85850397497415,0.7245532236993358
177,64,256,64,45.18557731062173,1.0753265582025024
178,64,256,128,45.3508634865284,0.9670454077422629
179,64,256,256,47.588714007288225,2.3804732598364313
180,64,256,512,45.77729914337397,1.1570769362151596
181,64,256,1024,44.42086266353726,0.3230969421565491
182,64,256,2048,43.945565540343516,0.12577986344694883
183,64,256,4096,44.624655488878496,0.020821020007137408
184,64,256,8192,48.6497151479125,0.2599261701107027
185,64,256,16384,76.38630498614576,0.02217339351771831
186,64,256,32768,167.0451918616891,0.03252131864427501
187,64,512,32,45.629257392138236,2.3312642239034194
188,64,512,64,45.06966343149543,0.4242536611855094
189,64,512,128,48.20710940286517,1.794003508985044
190,64,512,256,49.272897727787495,0.07950495928525923
191,64,512,512,47.63648573309183,5.062554776668547
192,64,512,1024,44.811834301799536,0.8978523313999117
193,64,512,2048,45.48202631995082,1.8231324851512873
194,64,512,4096,48.55597693473101,0.07262658327817782
195,64,512,8192,76.45508153708995,0.03882497549057863
196,64,512,16384,167.02887423646948,0.028162728995081078
197,64,512,32768,325.59803194765533,0.01988094300032486
198,128,16,32,46.808592062443495,2.376973628997797
199,128,16,64,44.51870247721672,0.11887950822710608
200,128,16,128,46.20089754462242,1.9853051751852004
201,128,16,256,44.72736233845353,0.9697679430246317
202,128,16,512,46.937423553317785,2.205052878707648
203,128,16,1024,47.06504927948117,4.4340373948216465
204,128,16,2048,46.57869089394807,4.006242100149391
205,128,16,4096,49.212298560887575,0.06338078528642944
206,128,16,8192,45.75231775641441,0.5842776037752603
207,128,16,16384,44.437177181243904,1.3420468196272852
208,128,16,32768,44.58584645763039,0.5336100235581396
209,128,32,32,45.99279999732971,1.602092944085597
210,128,32,64,42.8401206061244,0.9269052185118202
211,128,32,128,42.73091861978173,1.1526005342602714
212,128,32,256,42.37853869795799,0.29501430690288094
213,128,32,512,42.78818506747485,0.2993340604007255
214,128,32,1024,42.41780869662762,0.8285813964903379
215,128,32,2048,43.19728440635276,0.43604988604784173
216,128,32,4096,42.622527219355106,0.20171543583273535
217,128,32,8192,44.81274425983429,0.7069724611937953
218,128,32,16384,42.9594180174172,1.3094595633447195
219,128,32,32768,43.042561654001474,1.090561971068379
220,128,64,32,45.365530867129564,0.9708799421787254
221,128,64,64,44.29128399118781,0.6194463931024092
222,128,64,128,45.71702539920806,0.9718273766338813
223,128,64,256,44.28690437227487,0.3863390535116182
224,128,64,512,44.22176256775856,0.3062415868043878
225,128,64,1024,44.61550211533904,0.4736000671982831
226,128,64,2048,46.77051737904549,2.7027276344597335
227,128,64,4096,49.46921154856682,0.009378604590887815
228,128,64,8192,46.06120161712169,3.4685698337852955
229,128,64,16384,44.81032192707062,1.6325712203979483
230,128,64,32768,48.762691989541054,0.7778342813253417
231,128,128,32,47.83730618655681,2.6919118128716923
232,128,128,64,47.40944415330887,2.2260997444391304
233,128,128,128,44.99027956277132,1.2084927409887305
234,128,128,256,47.1540348790586,4.034366551786661
235,128,128,512,44.84333131462335,0.2977960743010032
236,128,128,1024,44.27011238411069,0.36184955388307183
237,128,128,2048,44.373867735266685,0.20002005621790822
238,128,128,4096,44.712867587804794,0.44452408328652493
239,128,128,8192,47.51727940514684,2.806240320205691
240,128,128,16384,48.47066480666399,0.008543953299521533
241,128,128,32768,76.51383674669046,0.02841837704181259
242,128,256,32,47.058921288698905,3.2858862541615976
243,128,256,64,44.82020517811179,0.6344955414533585
244,128,256,128,44.298037253320224,0.7990567944943906
245,128,256,256,44.893450941890485,0.27779713273048745
246,128,256,512,47.23472960293294,3.287250362336634
247,128,256,1024,48.87601483613254,0.28470838442444896
248,128,256,2048,44.037183579057455,0.1674689352512327
249,128,256,4096,44.40837956964969,0.1809577457606779
250,128,256,8192,48.67297215387225,0.27006734162568646
251,128,256,16384,76.68405222809976,0.018164515495301053
252,128,256,32768,167.11474140174684,0.03899587318299271
